Species,Match type,ScientificName,ScientificName_accepted
Chaenophryne longiceps,exact,Chaenophryne longiceps,Chaenophryne longiceps
Chaenopsis ocellata,exact,Chaenopsis ocellata,Chaenopsis ocellata
Chaetodipterus faber,exact,Chaetodipterus faber,Chaetodipterus faber
Chaetodon ocellatus,exact,Chaetodon ocellatus,Chaetodon ocellatus
Chaetodon sedentarius,exact,Chaetodon sedentarius,Chaetodon sedentarius
Chaetodon striatus,exact,Chaetodon striatus,Chaetodon striatus
Chascanopsetta lugubris,exact,Chascanopsetta lugubris,Chascanopsetta lugubris
Chauliodus danae,exact,Chauliodus danae,Chauliodus danae
Chauliodus macouni,exact,Chauliodus macouni,Chauliodus macouni
Chauliodus sloani,exact,Chauliodus sloani,Chauliodus sloani
Chaunax pictus,exact,Chaunax pictus,Chaunax pictus
Chaunax stigmaeus,exact,Chaunax stigmaeus,Chaunax stigmaeus
Cheilopogon cyanopterus,exact,Cheilopogon cyanopterus,Cheilopogon cyanopterus
Cheilopogon exsiliens,exact,Cheilopogon exsiliens,Cheilopogon exsiliens
Cheilopogon furcatus,exact,Cheilopogon furcatus,Cheilopogon furcatus
Cheilopogon heterurus,exact,Cheilopogon heterurus,Cheilopogon heterurus
Cheilopogon melanurus,exact,Cheilopogon melanurus,Cheilopogon melanurus
Cheilotrema saturnum,exact,Cheilotrema saturnum,Cheilotrema saturnum
Chelidonichthys cuculus,exact,Chelidonichthys cuculus,Chelidonichthys cuculus
Chelidonichthys lucerna,exact,Chelidonichthys lucerna,Chelidonichthys lucerna
Chelidonichthys lucernus,exact,Chelidonichthys lucernus,Chelidonichthys lucerna
Chelidonichthys obscurus,exact,Chelidonichthys obscurus,Chelidonichthys obscurus
Chelon labrosus,exact,Chelon labrosus,Chelon labrosus
Chesnonia verrucosa,exact,Chesnonia verrucosa,Chesnonia verrucosa
Chiasmodon harteli,exact,Chiasmodon harteli,Chiasmodon harteli
Chiasmodon niger,exact,Chiasmodon niger,Chiasmodon niger
Chilara taylori,exact,Chilara taylori,Chilara taylori
Chilomycterus antennatus,exact,Chilomycterus antennatus,Chilomycterus antennatus
Chilomycterus antillarum,exact,Chilomycterus antillarum,Chilomycterus antillarum
Chilomycterus reticulatus,exact,Chilomycterus reticulatus,Chilomycterus reticulatus
Chilomycterus schoepfii,exact,Chilomycterus schoepfii,Chilomycterus schoepfii
Chimaera monstrosa,exact,Chimaera monstrosa,Chimaera monstrosa
Chimaera opalescens,exact,Chimaera opalescens,Chimaera opalescens
Chirolophis ascanii,exact,Chirolophis ascanii,Chirolophis ascanii
Chirolophis decoratus,exact,Chirolophis decoratus,Chirolophis decoratus
Chirolophis nugator,exact,Chirolophis nugator,Chirolophis nugator
Chirolophis snyderi,exact,Chirolophis snyderi,Chirolophis snyderi
Chirolophis tarsodes,exact,Chirolophis tarsodes,Chirolophis tarsodes
Chitonotus pugetensis,exact,Chitonotus pugetensis,Chitonotus pugetensis
Chlorophthalmus agassizi,exact,Chlorophthalmus agassizi,Chlorophthalmus agassizi
Chloroscombrus chrysurus,exact,Chloroscombrus chrysurus,Chloroscombrus chrysurus
Choranthias tenuis,exact,Choranthias tenuis,Choranthias tenuis
Chromis enchrysura,exact,Chromis enchrysura,Chromis enchrysura
Chromis scotti,exact,Chromis scotti,Chromis scotti
Ciliata mustela,exact,Ciliata mustela,Ciliata mustela
Ciliata septentrionalis,exact,Ciliata septentrionalis,Ciliata septentrionalis
Citharichthys arctifrons,exact,Citharichthys arctifrons,Citharichthys arctifrons
Citharichthys arenaceus,exact,Citharichthys arenaceus,Citharichthys arenaceus
Citharichthys cornutus,exact,Citharichthys cornutus,Citharichthys cornutus
Citharichthys dinoceros,exact,Citharichthys dinoceros,Citharichthys dinoceros
Citharichthys gymnorhinus,exact,Citharichthys gymnorhinus,Citharichthys gymnorhinus
Citharichthys macrops,exact,Citharichthys macrops,Citharichthys macrops
Citharichthys sordidus,exact,Citharichthys sordidus,Citharichthys sordidus
Citharichthys spilopterus,exact,Citharichthys spilopterus,Citharichthys spilopterus
Citharichthys stigmaeus,exact,Citharichthys stigmaeus,Citharichthys stigmaeus
Citharichthys xanthostigma,exact,Citharichthys xanthostigma,Citharichthys xanthostigma
Citharus linguatula,exact,Citharus linguatula,Citharus linguatula
Clepticus parrae,exact,Clepticus parrae,Clepticus parrae
